id,vendor_id,pickup_date,pickup_time,dropoff_date,dropoff_time,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1870624,1,1/5/2016,15:29,1/5/2016,15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,N,0:09:13
id3188770,1,1/3/2016,16:59,1/3/2016,17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,N,0:05:48
id1388344,2,1/2/2016,15:41,1/2/2016,16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,N,0:20:28
id1040444,2,1/7/2016,17:01,1/7/2016,17:13,4,-73.97695159999998,40.75202179,-74.00121307,40.75161362,N,0:12:01
id2934884,2,1/7/2016,19:32,1/7/2016,19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,N,0:08:40
id0702030,1,1/7/2016,23:24,1/7/2016,23:26,1,-73.99929809999998,40.74953461,-74.00536346,40.74351883,N,0:01:41
id3942339,1,1/5/2016,17:58,1/5/2016,18:13,1,-73.97882843,40.7528038,-73.99103546,40.75041962,N,0:15:34
id3620795,1,1/1/2016,10:45,1/1/2016,10:51,1,-74.0016098,40.74081039,-73.99622345,40.72590256,N,0:06:23
id2282206,1,1/4/2016,16:32,1/4/2016,16:51,2,-73.96218109,40.81072617,-73.9948349,40.75281143,N,0:18:37
id2460349,1,1/7/2016,15:40,1/7/2016,15:49,2,-73.9789505,40.75093079,-73.96439362,40.75496292,N,0:08:50
id3707411,1,1/3/2016,2:03,1/3/2016,2:17,1,-74.00772858,40.74060822,-73.98351288,40.73720932,N,0:13:23
id3564028,1,1/2/2016,1:16,1/2/2016,1:19,1,-73.95413208,40.77478409,-73.94741821,40.77963257,N,0:03:14
id2336715,2,1/1/2016,0:09,1/1/2016,0:19,2,-73.98435974,40.74898529,-73.99628448,40.71605682,N,0:10:22
id3729126,1,1/4/2016,14:20,1/4/2016,14:36,1,-73.86691284,40.77187729,-73.79469299,40.7347908,N,0:16:38
id0000569,1,1/3/2016,19:51,1/3/2016,19:53,3,-73.96197509999998,40.76773453,-73.95858765,40.77301025,N,0:02:03
id3342568,1,1/3/2016,3:33,1/3/2016,4:09,1,-73.98484802,40.72433472,-73.88411713,40.71671677,N,0:35:59
id0860600,1,1/6/2016,15:23,1/6/2016,15:38,1,-74.00012207,40.71784973,-74.01457977,40.70967484,N,0:14:38
id1144791,2,1/6/2016,13:39,1/6/2016,13:49,1,-73.99198914,40.74379349,-73.97470093,40.76340103,N,0:10:13
