id,vendor_id,pickup_date,pickup_time,dropoff_date,dropoff_time,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2833246,2,1/6/2016,22:03,1/7/2016,20:19,2,-73.87080383,40.77365112,-73.98086548,40.72992325,N,22:15:35
id0980323,2,1/4/2016,18:13,1/5/2016,18:13,1,-74.00907135,40.71068573,-73.98096466,40.76466370000001,N,23:59:14
id2378361,2,1/3/2016,21:15,1/4/2016,19:51,2,-73.86334229,40.76936722,-73.97333527,40.7558403,N,22:36:45
id3070191,2,1/1/2016,15:27,1/2/2016,15:09,3,-73.98965454,40.73565674,-73.98965454,40.73565674,N,23:42:13
id1167611,2,1/5/2016,19:51,1/6/2016,19:36,2,-73.98430634,40.76474762,-73.9389801,40.85424805,N,23:45:25
id1942487,2,1/1/2016,19:53,1/2/2016,19:17,1,-73.97283173,40.74347687,-73.97257233,40.75301361,N,23:24:03
id3883213,2,1/3/2016,0:22,1/4/2016,0:06,1,-73.9743042,40.75696182,-73.98417664,40.72792435,N,23:44:18
id3395949,2,1/3/2016,21:10,1/4/2016,20:56,1,-73.97890472,40.7641983,-73.98508453,40.723526,N,23:46:13
id3257049,2,1/2/2016,21:43,1/3/2016,21:27,1,-73.98920441,40.74871063,-73.96767426,40.80239105,N,23:44:05
id2530626,2,1/4/2016,19:22,1/5/2016,19:13,1,-73.9914093,40.75009918,-74.00842285,40.71998596,N,23:51:29
id3455170,2,1/1/2016,19:27,1/2/2016,18:35,1,-73.98593903,40.76786423,-73.98971558,40.76065826,N,23:07:50
id0411376,2,1/6/2016,6:59,1/7/2016,6:55,1,-73.99491882,40.74512863,-73.99121094,40.73972321,N,23:55:31
id2959006,2,1/2/2016,14:20,1/3/2016,14:15,1,-73.99139404,40.74624634,-73.98400116,40.77552414,N,23:55:14
id3805971,2,1/1/2016,3:26,1/2/2016,3:23,5,-73.98371124,40.67617416,-73.96614838,40.69017792,N,23:56:49
id0789517,2,1/3/2016,20:16,1/4/2016,20:01,3,-74.00432587,40.7131424,-74.00856781,40.7191658,N,23:45:11
id3868116,2,1/4/2016,15:02,1/5/2016,14:33,5,-73.98666382,40.75939941,-73.78285217,40.64884186,N,23:30:49
id0526469,2,1/2/2016,17:00,1/3/2016,16:59,1,-73.9799881,40.76123047,-73.9731369,40.763729100000006,N,23:58:17
